episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
185,1450.0,1094,113972,0.1,0.13733787115418564,442.39542254200205,True,False
186,360.0,354,114326,0.1,0.1316063741476021,443.67326574999606,True,False
187,460.0,383,114709,0.1,0.14770479879613654,445.115488374955,True,False
188,830.0,668,115377,0.1,0.1109879283669466,447.6133109999937,True,False
189,440.0,453,115830,0.1,0.14836398426410372,449.2482964589726,True,False
190,330.0,473,116303,0.1,0.14203836129567884,450.94649499998195,True,False
191,2030.0,1106,117409,0.1,0.13537455568029563,454.99944579199655,True,False
192,440.0,477,117886,0.1,0.1077921950109616,456.99097058398183,True,False
193,300.0,542,118428,0.1,0.12964008655399084,459.1133042500005,True,False
194,970.0,1008,119436,0.1,0.12099192890944699,462.77440683398163,True,False
195,480.0,537,119973,0.1,0.10886687197402786,464.706192499958,True,False
196,330.0,393,120366,0.1,0.12720963663934748,466.141471958952,True,False
197,430.0,496,120862,0.1,0.12989787028111036,467.9168409589911,True,False
198,480.0,510,121372,0.1,0.10049629736749921,469.77437016699696,True,False
199,620.0,757,122129,0.1,0.11657851082938057,472.48528533399804,True,False
200,380.0,420,122549,0.1,0.1351220577068272,474.01288987498265,True,False
201,1640.0,813,123362,0.1,0.11584212251117663,477.78694437496597,True,False
202,470.0,438,123800,0.1,0.114860207028687,479.3827232919866,True,False
203,1220.0,614,124414,0.1,0.11197606639729606,481.56050483399304,True,False
204,440.0,455,124869,0.1,0.1301830783976536,483.20168299996294,True,False
205,650.0,632,125501,0.1,0.12615230640608677,485.45571449998533,True,False
206,430.0,474,125975,0.1,0.13503751744342557,487.1594374169945,True,False
207,1210.0,860,126835,0.1,0.11919023173666278,490.1849782919744,True,False
208,810.0,857,127692,0.1,0.1533619083117607,493.2296984999557,True,False
209,820.0,691,128383,0.1,0.10474039116051308,495.6674485419644,True,False
210,850.0,601,128984,0.1,0.12597756621902748,497.83077258395497,True,False
211,970.0,676,129660,0.1,0.12258989964584274,500.2782315419754,True,False
212,650.0,829,130489,0.1,0.11536106431253866,503.8440001249546,True,False
213,390.0,454,130943,0.1,0.109957374813678,505.8256197919836,True,False
214,1120.0,936,131879,0.1,0.13028478869993207,513.4417853339692,True,False
215,920.0,873,132752,0.1,0.10411762980293465,516.5181706669973,True,False
216,550.0,592,133344,0.1,0.10596809815615416,518.6542703749728,True,False
217,790.0,995,134339,0.1,0.11111980416030894,522.1602298749494,True,False
218,560.0,450,134789,0.1,0.1002682729302782,523.7986662089825,True,False
219,790.0,728,135517,0.1,0.1240536275186709,526.4261204999639,True,False
220,1190.0,1293,136810,0.1,0.10484401489558973,531.0057997090044,True,False
221,780.0,698,137508,0.1,0.10085483902267048,533.5155564589659,True,False
222,1800.0,1303,138811,0.1,0.10661936951944462,538.4974074999918,True,False
223,670.0,704,139515,0.1,0.10527713002044368,541.0143558339914,True,False
224,430.0,468,139983,0.1,0.10247274258962044,542.7061994999531,True,False
225,960.0,752,140735,0.1,0.11410466239767823,545.4177393339924,True,False
226,1190.0,747,141482,0.1,0.1179950021526074,549.1113414999563,True,False
227,340.0,398,141880,0.1,0.12336155895143747,550.5376497499528,True,False
228,410.0,501,142381,0.1,0.090307323127985,552.3332701670006,True,False
229,1130.0,806,143187,0.1,0.11743440427145554,555.2179794589756,True,False
230,1210.0,822,144009,0.1,0.12649638505055777,558.1584293339984,True,False
231,960.0,623,144632,0.1,0.119444692793947,560.3985302919755,True,False
232,720.0,669,145301,0.1,0.11779729564657468,562.8076399999554,True,False
233,550.0,619,145920,0.1,0.13190066707470724,565.0466468340019,True,False
234,550.0,482,146402,0.1,0.12137627832901975,566.7867491669604,True,False
235,770.0,555,146957,0.1,0.10367358343260323,568.7669654999627,True,False
236,520.0,477,147434,0.1,0.10599744232261882,571.5813193749636,True,False
237,900.0,641,148075,0.1,0.14138715084409342,574.0040225419798,True,False
238,730.0,701,148776,0.1,0.13453797282735733,576.524338624964,True,False
239,390.0,393,149169,0.1,0.14689035635745648,577.9550267919549,True,False
240,760.0,625,149794,0.1,0.14083972837155065,580.1817678340012,True,False
241,440.0,596,150390,0.1,0.13983726962125742,582.30274795898,True,False
242,560.0,574,150964,0.1,0.17112348303716216,584.3723399169976,True,False
243,370.0,402,151366,0.1,0.19172336012125016,585.8259669999825,True,False
244,750.0,608,151974,0.1,0.15844247542860868,588.0072481669486,True,False
245,1050.0,855,152829,0.1,0.15892189144043722,591.0610324169975,True,False
246,540.0,513,153342,0.1,0.11722920971806161,592.9007378339884,True,False
247,1060.0,889,154231,0.1,0.13584124687891286,596.0700938749942,True,False
248,510.0,484,154715,0.1,0.12937622711308733,597.8037787089706,True,False
